id,propertyType,title,locationId,price,size,hasParking,roomNumber,bathNumber,hasSwimmingPool,hasTerrace,hasGarden,hasLift,isGoodCondition,isNeedsRenovating,isNewDevelopment,featureTags,heatingType,interiorExterior,floor,area_name
98020648,piso,"piso en venta en calle de fernando el católico, 11",0-EU-ES-28-07-001-079-07,710000,150.0,1,4,3,0,0,0,1,0,1,0,[],Calefacción central,exterior,planta 5ª,Chamberí
98210405,piso,piso en venta en guindalera,0-EU-ES-28-07-001-079-04,495000,115.0,0,3,2,0,0,0,1,1,0,0,[],no info,interior,planta 4ª,Barrio de Salamanca
98348943,piso,"piso en venta en calle de goya, 100",0-EU-ES-28-07-001-079-04,565000,87.0,0,2,2,0,0,0,1,1,0,0,[],Calefacción central: Gas,interior,planta 3ª,Barrio de Salamanca
97693281,piso,"piso en venta en calle de brescia, 9",0-EU-ES-28-07-001-079-04,590000,148.0,1,4,3,0,0,0,1,1,0,0,[],Calefacción central,exterior,planta 1ª,Barrio de Salamanca
88494348,piso,dúplex en venta en avenida de los madroños,0-EU-ES-28-07-001-079-16,1690000,350.0,1,5,5,1,1,1,1,1,0,0,['Lujo'],Calefacción individual: Bomba de frío/calor,exterior,planta 3ª,Hortaleza
98038276,piso,piso en venta en calle de emilio vargas,0-EU-ES-28-07-001-079-15,970000,130.0,1,2,1,1,0,1,1,1,0,0,['Lujo'],Calefacción central: Gas,exterior,planta 12ª,Ciudad Lineal
98335878,piso,"piso en venta en calle de narváez, 72",0-EU-ES-28-07-001-079-03,339000,50.0,0,2,1,0,0,0,1,1,0,0,[],Calefacción individual,interior,planta 7ª,Retiro
97843303,piso,piso en venta en cuatro caminos,0-EU-ES-28-07-001-079-06,1100000,207.0,1,4,3,0,1,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 5ª,Tetuán
98076645,piso,"piso en venta en calle escoriaza, 16",0-EU-ES-28-07-001-079-17,180000,70.0,0,3,1,0,1,0,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 8ª,Villaverde
97903269,piso,piso en venta en goya,0-EU-ES-28-07-001-079-04,829000,112.0,0,3,1,0,0,0,1,0,1,0,[],No dispone de calefacción,exterior,planta 4ª,Barrio de Salamanca
97929874,chalet,chalet adosado en venta en palomas,0-EU-ES-28-07-001-079-16,1260000,365.0,1,5,3,1,1,1,0,1,0,0,['Lujo'],Calefacción individual: Gas natural,does not apply,does not apply,Hortaleza
97235961,piso,"piso en venta en calle galeón, 4",0-EU-ES-28-07-001-079-21,749000,190.0,1,3,2,1,1,1,1,1,0,0,['Lujo'],Calefacción individual,exterior,bajo,Barajas
98078988,piso,"piso en venta en calle sanchidrián, 8",0-EU-ES-28-07-001-079-10,165000,75.0,0,3,1,0,1,1,1,0,1,0,[],Calefacción individual: Gas natural,exterior,planta 4ª,Latina
97993607,piso,piso en venta en calle de canarias,0-EU-ES-28-07-001-079-02,335000,72.0,0,3,1,0,0,0,0,0,1,0,[],no info,exterior,planta 3ª,Arganzuela
96744844,piso,dúplex en venta en paseo de san francisco de sales,0-EU-ES-28-07-001-079-07,1299600,227.0,0,3,2,1,0,0,1,1,0,0,['Lujo'],No dispone de calefacción,exterior,planta 9ª,Chamberí
97810426,piso,piso en venta en calle de lópez de hoyos,0-EU-ES-28-07-001-079-05,489000,82.0,0,2,1,0,1,0,1,1,0,0,['Lujo'],Calefacción central: Gas,exterior,planta 5ª,Chamartín
98228378,piso,"piso en venta en calle del hachero, 28",0-EU-ES-28-07-001-079-13,170000,50.0,0,2,1,0,0,0,0,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 1ª,Puente de Vallecas
98266803,piso,piso en venta en calle fermín izquierdo,0-EU-ES-28-07-001-079-06,260000,62.0,0,3,1,0,0,0,0,1,0,0,[],Calefacción individual: Gas natural,interior,planta 2ª,Tetuán
98526170,piso,piso en venta en avenida pablo neruda,0-EU-ES-28-07-001-079-13,193000,97.0,0,3,2,0,1,0,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 1ª,Puente de Vallecas
98477571,piso,piso en venta en ventas,0-EU-ES-28-07-001-079-15,239000,85.0,0,3,2,0,0,0,1,1,0,0,[],Calefacción individual: Gas natural,exterior,entreplanta,Ciudad Lineal
98025222,piso,piso en venta en avenida del marqués de corbera,0-EU-ES-28-07-001-079-15,219000,63.0,0,3,1,0,0,0,0,1,0,0,[],no info,exterior,planta 5ª,Ciudad Lineal
98271300,piso,ático en venta en calle del mesón de paredes,0-EU-ES-28-07-001-079-01,390000,80.0,0,3,1,0,1,0,0,0,1,0,[],Calefacción individual: Gas natural,exterior,planta 2ª,Centro
